board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,5311,dilithium2,keygen,0,1312,3065145,36489,7503.381088,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,6099.57,6173.78,74.21,7422,30639.42656,36052.309,45237.449,2273.751845,7503.381088
NUCLEO-F446RE,STM32F446RE,84,5506,dilithium2,sign,14,2420,15294881,182081,4123.297329,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,6186.39,6224.36,37.97,3798,32907.13824,36628.191,43932.66,1249.484039,4123.297329
NUCLEO-F446RE,STM32F446RE,84,5557,dilithium2,verify_ok,2420,0,3183673,37900,4156.277919,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,6261.68,6299.66,37.98,3799,33161.61552,36785.527,43824.266,1259.478157,4156.277919
NUCLEO-F446RE,STM32F446RE,84,5630,dilithium2,keygen,0,1312,3065358,36492,5466.493646,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,6312.37,6365.97,53.6,5361,30905.0975,35947.773,44965,1656.513226,5466.493646
NUCLEO-F446RE,STM32F446RE,84,5772,dilithium2,sign,14,2420,10748620,127959,4052.240205,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,6378.6,6416.55,37.95,3796,32357.09031,36680.625,43986.875,1227.951577,4052.240205
NUCLEO-F446RE,STM32F446RE,84,5822,dilithium2,verify_ok,2420,0,3184119,37906,3988.916427,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,6453.99,6490.54,36.55,3656,33071.47889,36680.625,44801.684,1208.762554,3988.916427
NUCLEO-F446RE,STM32F446RE,84,5896,dilithium2,keygen,0,1312,3043728,36234,18537.01551,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,6503.25,6685.65,182.4,18241,30796.47712,35947.773,45291.977,5617.277428,18537.01551
NUCLEO-F446RE,STM32F446RE,84,6058,dilithium2,sign,14,2420,12538803,149271,4113.39574,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,6698.44,6736.42,37.98,3799,32819.47229,36733.066,43878.457,1246.483558,4113.39574
NUCLEO-F446RE,STM32F446RE,84,6109,dilithium2,verify_ok,2420,0,3183938,37904,4003.364105,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,6773.6,6810.17,36.57,3658,33173.11014,36523.371,44421.074,1213.140638,4003.364105
NUCLEO-F446RE,STM32F446RE,84,6183,dilithium2,keygen,0,1312,3152671,37531,12976.74431,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,6823.53,6951.77,128.24,12825,30663.96413,35895.523,44856.109,3932.34676,12976.74431
NUCLEO-F446RE,STM32F446RE,84,6386,dilithium2,sign,14,2420,15934968,189702,4103.786136,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,6964.57,7002.55,37.98,3799,32742.80033,36733.066,43824.266,1243.571556,4103.786136
NUCLEO-F446RE,STM32F446RE,84,6436,dilithium2,verify_ok,2420,0,3184229,37907,3973.820567,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,7040.2,7076.51,36.31,3632,33164.08842,36575.773,44584.117,1204.188051,3973.820567
NUCLEO-F446RE,STM32F446RE,84,6510,dilithium2,keygen,0,1312,3086624,36745,15029.46685,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,7089.23,7238.79,149.56,14957,30451.88482,35843.289,45073.941,4554.383894,15029.46685
NUCLEO-F446RE,STM32F446RE,84,6577,dilithium2,sign,14,2420,4497034,53536,4053.37884,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,7251.58,7289.55,37.97,3798,32349.13401,36680.625,44149.602,1228.296618,4053.37884
NUCLEO-F446RE,STM32F446RE,84,6627,dilithium2,verify_ok,2420,0,3184273,37908,4091.657598,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,7326.77,7364.38,37.61,3762,32967.19601,36680.625,44312.449,1239.896242,4091.657598
NUCLEO-F446RE,STM32F446RE,84,6702,dilithium2,keygen,0,1312,3109175,37013,19174.42361,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,519,7377.1,7567.19,190.09,19010,30566.7389,35895.523,45073.941,5810.431397,19174.42361
NUCLEO-F446RE,STM32F446RE,84,6843,dilithium2,sign,14,2420,10823052,128845,4128.867605,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,7580,7617.97,37.97,3798,32951.59341,36680.625,43770.09,1251.172002,4128.867605
NUCLEO-F446RE,STM32F446RE,84,6894,dilithium2,verify_ok,2420,0,3183708,37901,4024.207817,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,7655.47,7692.29,36.82,3683,33119.41646,36575.773,44149.602,1219.456914,4024.207817
NUCLEO-F446RE,STM32F446RE,84,6968,dilithium2,keygen,0,1312,3065478,36493,5494.501603,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,7705.01,7758.69,53.68,5369,31017.14765,36000.035,44312.449,1665.000486,5494.501603
NUCLEO-F446RE,STM32F446RE,84,7036,dilithium2,sign,14,2420,4617170,54966,4059.836047,797,144,144,gcc-arm-none-eabi,O2,off,2219,2225,518,7771.32,7809.31,37.99,3800,32383.6101,36470.977,43986.875,1230.253348,4059.836047
