board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,6597,dilithium2,sign,14,2420,10813981,128737,11336.738338199999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,14598.0,14726.0,128.0,129.0,26846.343263565894,34638.0916,34966.648,3435.3752539999996,11336.738338199999
NUCLEO-F446RE,STM32F446RE,84,6648,dilithium2,verify_ok,2420,0,3184322,37908,3327.5932008,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,14649.0,14686.0,37.0,38.0,27192.50242105263,34588.0452,34966.648,1008.3615759999999,3327.5932008
NUCLEO-F446RE,STM32F446RE,84,6758,dilithium2,keygen,0,1312,3108928,37011,3715.9804275,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,14759.0,14796.0,37.0,38.0,30512.858736842103,33866.1643,33960.434,1126.054675,3715.9804275
NUCLEO-F446RE,STM32F446RE,84,6919,dilithium2,sign,14,2420,12473151,148489,14749.529127300002,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,14920.0,15068.0,148.0,149.0,30164.66971140939,34754.541999999994,35072.113,4469.554281000001,14749.529127300002
NUCLEO-F446RE,STM32F446RE,84,6970,dilithium2,verify_ok,2420,0,3183882,37903,3835.8279432000004,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,14971.0,15008.0,37.0,38.0,31156.324394736843,34315.07125,34521.836,1162.3721040000003,3835.8279432000004
NUCLEO-F446RE,STM32F446RE,84,7080,dilithium2,keygen,0,1312,3142449,37410,2918.1610029000003,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,15081.0,15118.0,37.0,38.0,24135.450105263157,25650.156049999994,32855.891,884.2912130000001,2918.1610029000003
NUCLEO-F446RE,STM32F446RE,84,7282,dilithium2,sign,14,2420,15879991,189047,18225.1085346,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,15283.0,15472.0,189.0,190.0,29241.082984210523,34657.5343,35166.012,5522.7601620000005,18225.1085346
NUCLEO-F446RE,STM32F446RE,84,7335,dilithium2,verify_ok,2420,0,3238979,38559,3905.8631667,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2221,412,15336.0,15374.0,38.0,39.0,31020.22623076922,34092.6652,34240.449,1183.594899,3905.8631667
NUCLEO-F446RE,STM32F446RE,84,7444,dilithium2,keygen,0,1312,3086948,36749,2880.214052099999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2221,412,15445.0,15481.0,36.0,37.0,24166.86235135135,24991.987999999998,25009.449,872.7921370000001,2880.214052099999
NUCLEO-F446RE,STM32F446RE,84,7511,dilithium2,sign,14,2420,4496701,53532,5255.1774098999995,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2221,412,15512.0,15565.0,53.0,54.0,30103.99268518518,34791.3266,35035.004,1592.4780030000002,5255.1774098999995
