board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,2294,kyber512,decaps,768,32,1208200,14383,1116.950445,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2814.02,2824.83,10.81,1082,31310.80776,35791.066,42905.023,338.4698319,1116.950445
NUCLEO-F446RE,STM32F446RE,84,2343,kyber512,keygen,0,800,908418,10814,1248.435039,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2837.54,2849.57,12.03,1204,31447.51856,36156.898,41882.094,378.3136483,1248.435039
NUCLEO-F446RE,STM32F446RE,84,2367,kyber512,encaps,800,768,1011326,12039,1465.470215,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2862.53,2876.91,14.38,1439,30881.91122,35791.066,42851.07,444.0818834,1465.470215
NUCLEO-F446RE,STM32F446RE,84,2395,kyber512,decaps,768,32,1208577,14387,1189.36799,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2914.06,2925.64,11.58,1159,31123.88103,36000.035,43283.078,360.4145424,1189.36799
NUCLEO-F446RE,STM32F446RE,84,2443,kyber512,keygen,0,800,908430,10814,1233.267873,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2938.88,2950.91,12.03,1204,31065.46444,36104.598,42204.617,373.7175372,1233.267873
NUCLEO-F446RE,STM32F446RE,84,2467,kyber512,encaps,800,768,1011339,12039,1463.535515,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,2963.88,2978.26,14.38,1439,30841.14121,35744.0761,43012.977,443.4956106,1463.535515
NUCLEO-F446RE,STM32F446RE,84,2495,kyber512,decaps,768,32,1208590,14387,1124.548267,849,45200,45200,gcc-arm-none-eabi,O2,off,2239,2245,527,3016.11,3026.92,10.81,1082,31523.79298,35843.289,43337.141,340.7722022,1124.548267
NUCLEO-F446RE,STM32F446RE,84,2544,kyber512,keygen,0,800,908178,10811,1250.618571,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3039.63,3051.67,12.04,1205,31476.35585,36104.598,42097.055,378.9753245,1250.618571
NUCLEO-F446RE,STM32F446RE,84,2568,kyber512,encaps,800,768,1011088,12036,1480.842117,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3064.64,3079.03,14.39,1440,31184.15812,35741.46555,42851.07,448.7400354,1480.842117
NUCLEO-F446RE,STM32F446RE,84,2596,kyber512,decaps,768,32,1208332,14384,1141.54842,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3116.17,3126.97,10.8,1081,32029.9781,36000.035,43012.977,345.9237635,1141.54842
NUCLEO-F446RE,STM32F446RE,84,2644,kyber512,keygen,0,800,908123,10810,1229.835262,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3139.67,3151.71,12.04,1205,30953.26845,36146.438,42204.617,372.6773521,1229.835262
NUCLEO-F446RE,STM32F446RE,84,2668,kyber512,encaps,800,768,1011034,12036,1448.286492,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3164.68,3179.06,14.38,1439,30519.79796,35796.2883,43229.031,438.8746947,1448.286492
NUCLEO-F446RE,STM32F446RE,84,2696,kyber512,decaps,768,32,1208287,14384,1126.585212,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3217.19,3228,10.81,1082,31580.89345,35895.523,43283.078,341.3894582,1126.585212
NUCLEO-F446RE,STM32F446RE,84,2744,kyber512,keygen,0,800,907944,10808,1249.110602,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3240.7,3252.74,12.04,1205,31438.40233,35947.773,41989.547,378.5183641,1249.110602
NUCLEO-F446RE,STM32F446RE,84,2768,kyber512,encaps,800,768,1010854,12033,1450.310525,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2248,527,3265.71,3280.1,14.39,1440,30541.2118,35843.289,42851.07,439.4880377,1450.310525
NUCLEO-F446RE,STM32F446RE,84,2797,kyber512,decaps,768,32,1262773,15033,1130.796669,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,3317.25,3328.06,10.81,1082,31698.95072,35895.523,42851.07,342.6656573,1130.796669
NUCLEO-F446RE,STM32F446RE,84,2846,kyber512,keygen,0,800,908016,10809,1243.027738,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,3340.77,3352.81,12.04,1205,31285.30499,36052.309,41721.008,376.6750721,1243.027738
NUCLEO-F446RE,STM32F446RE,84,2870,kyber512,encaps,800,768,1010920,12034,1458.213596,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,3365.79,3380.17,14.38,1439,30728.99221,35895.523,42958.992,441.8829079,1458.213596
NUCLEO-F446RE,STM32F446RE,84,2898,kyber512,decaps,768,32,1208184,14383,1130.890743,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,3417.31,3428.12,10.81,1082,31701.58785,36000.035,43283.078,342.6941647,1130.890743
NUCLEO-F446RE,STM32F446RE,84,2946,kyber512,keygen,0,800,908277,10812,1235.803301,849,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,3440.82,3452.85,12.03,1204,31129.33073,36000.035,42366.055,374.4858487,1235.803301
