dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,13,NUCLEO-F446RE,STM32F446RE,84,2160634,sphincs_sha2_128s,keygen,0,32,1163713645,13853733,1416430.2547362,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2348,2359,433,1551526.0,1565379.0,13853.0,13854.0,30984.025184062364,31441.54155,31743.352,429221.289314,1416430.2547362
dataset2,13,NUCLEO-F446RE,STM32F446RE,84,2265883,sphincs_sha2_128s,sign,12,7856,249423372,2969325,304153.0056081,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2359,433,1656775.0,1659744.0,2969.0,2970.0,31043.26432087542,31434.2815,31693.369,92167.577457,304153.0056081
dataset2,13,NUCLEO-F446RE,STM32F446RE,84,2266006,sphincs_sha2_128s,verify,7856,0,8787467,104612,10624.1640087,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2357,433,1656898.0,1657002.0,104.0,105.0,30952.22967619048,31428.4882,31483.094,3219.443639,10624.1640087
dataset2,14,NUCLEO-F446RE,STM32F446RE,84,2279934,sphincs_sha2_128s,keygen,0,32,1163393311,13849920,1414881.9541494,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2349,2359,433,1670826.0,1684675.0,13849.0,13850.0,30959.07186,31408.2144,31691.605,428752.107318,1414881.9541494
dataset2,14,NUCLEO-F446RE,STM32F446RE,84,2385179,sphincs_sha2_128s,sign,12,7856,249097655,2965448,302945.2235733,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2349,2359,433,1776071.0,1779036.0,2965.0,2966.0,30961.769865812537,31394.29725,31693.238,91801.582901,302945.2235733
dataset2,14,NUCLEO-F446RE,STM32F446RE,84,2385299,sphincs_sha2_128s,verify,7856,0,8561164,101918,10350.445766099998,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2349,2357,432,1776191.0,1776292.0,101.0,102.0,31052.237901960783,31384.39265,31535.775,3136.4987170000004,10350.445766099998
dataset2,15,NUCLEO-F446RE,STM32F446RE,84,2399225,sphincs_sha2_128s,keygen,0,32,1163230005,13847976,1414533.7824618,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2350,2359,433,1790117.0,1803964.0,13847.0,13848.0,30955.93680480936,31401.08495,31684.941,428646.600746,1414533.7824618
dataset2,15,NUCLEO-F446RE,STM32F446RE,84,2504497,sphincs_sha2_128s,sign,12,7856,251365746,2992449,306607.24287270004,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2348,2359,433,1895389.0,1898381.0,2992.0,2993.0,31053.29255329101,31440.7718,31687.729,92911.285719,306607.24287270004
dataset2,15,NUCLEO-F446RE,STM32F446RE,84,2504619,sphincs_sha2_128s,verify,7856,0,8737744,104020,10662.3198528,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2348,2357,433,1895511.0,1895615.0,104.0,105.0,31065.785085714288,31417.931,31468.494,3231.006016,10662.3198528
dataset2,16,NUCLEO-F446RE,STM32F446RE,84,2518551,sphincs_sha2_128s,keygen,0,32,1163746567,13854125,1414561.2929448,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2347,2357,433,1909443.0,1923297.0,13854.0,13855.0,30940.90290934681,31392.0865,31728.084,428654.937256,1414561.2929448
dataset2,16,NUCLEO-F446RE,STM32F446RE,84,2623817,sphincs_sha2_128s,sign,12,7856,250865302,2986491,305898.3326090999,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2349,2357,433,2014709.0,2017695.0,2986.0,2987.0,31043.757455306324,31420.9882,31645.914,92696.464427,305898.3326090999
dataset2,16,NUCLEO-F446RE,STM32F446RE,84,2623943,sphincs_sha2_128s,verify,7856,0,9038417,107600,11011.138366800003,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2348,2357,432,2014835.0,2014942.0,107.0,108.0,31179.76208333333,31427.75955,31615.773,3336.708596,11011.138366800003
