dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,13,NUCLEO-F446RE,STM32F446RE,84,69258,falcon512,sign,11,656,63397839,754736,69055.82740485015,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2517,2496,591,46499.0,47253.7,754.6999999999971,7548.0,27727.901892421836,31043.65595,38443.488,20926.008304500047,69055.82740485015
dataset2,13,NUCLEO-F446RE,STM32F446RE,84,69283,falcon512,verify,656,0,876915,10439,857.3418476700931,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2517,2496,591,46524.0,46534.4,10.400000000001455,105.0,24975.517980952383,27345.9364,27907.996,259.80055990002825,857.3418476700931
dataset2,14,NUCLEO-F446RE,STM32F446RE,84,71064,falcon512,keygen,0,897,143332547,1706339,156417.0122347807,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2517,2494,591,48305.0,50011.3,1706.300000000003,17064.0,27778.75733005157,34028.46525,35937.344,47399.09461660021,156417.0122347807
dataset2,14,NUCLEO-F446RE,STM32F446RE,84,71836,falcon512,sign,11,657,63555608,756614,69765.54863882928,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2516,2494,591,49077.0,49833.6,756.5999999999985,7567.0,27941.554256904983,34050.8733,35261.871,21141.07534509978,69765.54863882928
dataset2,14,NUCLEO-F446RE,STM32F446RE,84,71861,falcon512,verify,657,0,877080,10441,909.6766017901016,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2516,2494,591,49102.0,49112.4,10.400000000001455,105.0,26468.913571428573,28285.5866,28487.684,275.65957630003084,909.6766017901016
dataset2,15,NUCLEO-F446RE,STM32F446RE,84,77648,falcon512,keygen,0,897,479943446,5713612,520755.1837134892,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2514,2494,591,54889.0,60602.6,5713.599999999999,57137.0,27619.23065003413,33562.6534,38895.367,157804.60112529973,520755.1837134892
dataset2,15,NUCLEO-F446RE,STM32F446RE,84,78420,falcon512,sign,11,654,63566335,756742,69536.38584420246,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2514,2494,591,55661.0,56417.7,756.6999999999971,7568.0,27846.41139415962,33847.00095,38719.949,21071.63207400075,69536.38584420246
dataset2,15,NUCLEO-F446RE,STM32F446RE,84,78445,falcon512,verify,654,0,876650,10436,794.178057090087,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2514,2494,591,55686.0,55696.4,10.400000000001455,105.0,23142.951923809524,23526.6412,23657.281,240.66001730002637,794.178057090087
dataset2,16,NUCLEO-F446RE,STM32F446RE,84,80422,falcon512,keygen,0,897,159809866,1902498,173490.05708231963,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2513,2493,591,57663.0,59565.4,1902.4000000000012,19025.0,27635.095155689884,33519.347599999994,38627.238,52572.74457039988,173490.05708231963
dataset2,16,NUCLEO-F446RE,STM32F446RE,84,81192,falcon512,sign,11,655,63379225,754514,68809.10550128919,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2513,2491,591,58433.0,59187.5,754.5,7546.0,27635.97068486615,33765.22,38627.238,20851.244091299755,68809.10550128919
