dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset1,14,NUCLEO-F446RE,STM32F446RE,84,32997,p256,sign,32,71,34280661,408103,43135.42886,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,499,28927.98,29322.99,395.01,39502,33091.06931,36209.211,37731.984,13071.34208,43135.42886
dataset1,14,NUCLEO-F446RE,STM32F446RE,84,33822,p256,verify,32,0,68137602,811161,44689.20337,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,499,29336.53,29746.79,410.26,41027,33008.76347,36261.539,38523.926,13542.18284,44689.20337
dataset1,15,NUCLEO-F446RE,STM32F446RE,84,34255,p256,keygen,0,64,33178986,394987,88549.10023,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,499,29760.84,30574.09,813.25,81326,32994.79912,36209.211,37784.691,26833.06068,88549.10023
dataset1,15,NUCLEO-F446RE,STM32F446RE,84,34678,p256,sign,32,70,34440604,410007,42997.76718,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,499,30612.99,31006.52,393.53,39354,33109.54166,36209.211,37731.984,13029.62642,42997.76718
dataset1,15,NUCLEO-F446RE,STM32F446RE,84,35513,p256,verify,32,0,68981726,821211,44786.9983,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2212,499,31020.05,31431.37,411.32,41133,32995.72036,36261.539,38365.305,13571.81767,44786.9983
dataset1,16,NUCLEO-F446RE,STM32F446RE,84,35945,p256,keygen,0,64,33059081,393560,88639.23788,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,499,31444.76,32259.59,814.83,81484,32964.32255,36156.898,37837.406,26860.37512,88639.23788
dataset1,16,NUCLEO-F446RE,STM32F446RE,84,36370,p256,sign,32,72,34593349,411825,43015.23904,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,499,32298.12,32691.53,393.40999999999997,39342,33133.0903,36209.211,38576.824,13034.92092,43015.23904
dataset1,16,NUCLEO-F446RE,STM32F446RE,84,37203,p256,verify,32,0,68811502,819184,44491.36877,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2215,499,32705.06,33113.39,408.33000000000004,40834,33017.97789,36261.539,38735.605,13482.23296,44491.36877
dataset1,17,NUCLEO-F446RE,STM32F446RE,84,37635,p256,keygen,0,64,33059105,393560,88182.30752,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2212,499,33126.78,33936.76,809.98,80999,32990.79296,36209.211,37784.691,26721.91137,88182.30752
dataset1,17,NUCLEO-F446RE,STM32F446RE,84,38056,p256,sign,32,70,34232956,407535,43132.66224,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2209,2214,499,33975.21,34370.24,395.03,39504,33087.2881,36201.36405,37731.984,13070.50371,43132.66224
dataset1,17,NUCLEO-F446RE,STM32F446RE,84,38880,p256,verify,32,0,68050939,810130,44458.01421,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2212,499,34383.78,34791.74,407.96,40797,33023.16616,36261.539,38894.5,13472.12552,44458.01421
dataset1,18,NUCLEO-F446RE,STM32F446RE,84,39312,p256,keygen,0,64,33124269,394336,88366.22734,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2214,499,34805.12,35615.97,810.8499999999999,81086,33024.11923,36209.211,38418.164,26777.64465,88366.22734
dataset1,18,NUCLEO-F446RE,STM32F446RE,84,39736,p256,sign,32,72,34418625,409745,43147.02756,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2212,498,35653.81,36048.61,394.8,39481,33117.57227,36209.211,37731.984,13074.85684,43147.02756
dataset1,18,NUCLEO-F446RE,STM32F446RE,84,40571,p256,verify,32,0,69074067,822310,44723.70198,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2217,499,36062.14,36472.1,409.96,40997,33058.42028,36313.879,38365.305,13552.63696,44723.70198
dataset1,19,NUCLEO-F446RE,STM32F446RE,84,41005,p256,keygen,0,64,33178986,394987,89432.68078,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2209,2212,499,36485.49,37306.56,821.0699999999999,82108,33006.66612,36209.211,37837.406,27100.81236,89432.68078
dataset1,19,NUCLEO-F446RE,STM32F446RE,84,41425,p256,sign,32,71,34169837,406783,43051.43848,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2209,2212,498,37345.46,37738.98,393.52,39353,33151.69679,36261.539,37784.691,13045.89045,43051.43848
dataset1,19,NUCLEO-F446RE,STM32F446RE,84,42250,p256,verify,32,0,68213977,812071,44919.23601,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2211,498,37752.51,38164.27,411.76,41177,33057.8084,36313.879,38788.559,13611.8897,44919.23601
dataset1,20,NUCLEO-F446RE,STM32F446RE,84,42682,p256,keygen,0,64,33059105,393560,89157.11183,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2211,498,38177.66,38996.48,818.8199999999999,81883,32995.39404,36209.211,37995.641,27017.30662,89157.11183
dataset1,20,NUCLEO-F446RE,STM32F446RE,84,43106,p256,sign,32,72,34465101,410298,43037.03231,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2211,498,39035.02,39428.47,393.45000000000005,39346,33146.49706,36209.211,37784.691,13041.52494,43037.03231
dataset1,20,NUCLEO-F446RE,STM32F446RE,84,43934,p256,verify,32,0,68400265,814288,44413.20524,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2212,498,39442.0,39849.5,407.5,40751,33027.1618,36313.879,38682.664,13458.54704,44413.20524
dataset1,21,NUCLEO-F446RE,STM32F446RE,84,44365,p256,keygen,0,64,33059081,393560,88330.01418,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2212,498,39862.88,40672.89,810.01,81002,33044.8111,36261.539,37942.883,26766.67096,88330.01418
dataset1,21,NUCLEO-F446RE,STM32F446RE,84,44789,p256,sign,32,72,34461534,410256,43100.83001,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2210,498,40710.77,41105.03,394.26,39427,33127.42218,36209.211,37679.293,13060.85758,43100.83001
dataset1,21,NUCLEO-F446RE,STM32F446RE,84,45622,p256,verify,32,0,68830343,819408,44641.9939,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2212,498,41119.12,41528.92,409.8,40981,33010.91182,36261.539,39000.496,13527.87694,44641.9939
dataset1,22,NUCLEO-F446RE,STM32F446RE,84,46054,p256,keygen,0,64,33124332,394337,89466.32571,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2212,498,41542.31,42364.67,822.36,82237,32967.25292,36156.898,37784.691,27111.00779,89466.32571
dataset1,22,NUCLEO-F446RE,STM32F446RE,84,46476,p256,sign,32,71,34303497,408374,43142.42005,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2208,2214,499,42402.82,42797.98,395.16,39517,33083.86502,36156.898,38206.797,13073.46062,43142.42005
dataset1,22,NUCLEO-F446RE,STM32F446RE,84,47300,p256,verify,32,0,68113232,810871,44326.64408,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,498,42811.53,43218.5,406.96999999999997,40698,33005.64502,36261.539,38365.305,13432.31639,44326.64408
dataset1,23,NUCLEO-F446RE,STM32F446RE,84,47734,p256,keygen,0,64,33178865,394986,88469.07504,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,498,43231.89,44044.23,812.3399999999999,81235,33001.93901,36209.211,37837.406,26808.81062,88469.07504
dataset1,23,NUCLEO-F446RE,STM32F446RE,84,48155,p256,sign,32,70,34306938,408415,43040.32773,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2211,498,44082.52,44476.0,393.48,39349,33146.52254,36261.539,37890.137,13042.52356,43040.32773
dataset1,23,NUCLEO-F446RE,STM32F446RE,84,48986,p256,verify,32,0,68676629,817578,44668.72443,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,498,44489.53,44899.74,410.21000000000004,41022,32997.70836,36261.539,38576.824,13535.9771,44668.72443
dataset1,24,NUCLEO-F446RE,STM32F446RE,84,49419,p256,keygen,0,64,33113564,394209,88647.95409,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,498,44913.13,45727.25,814.12,81413,32996.34995,36209.211,37890.137,26863.01639,88647.95409
dataset1,24,NUCLEO-F446RE,STM32F446RE,84,49845,p256,sign,32,71,34634028,412309,43028.83451,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,498,45765.19,46158.66,393.46999999999997,39348,33138.4957,36209.211,37784.691,13039.04076,43028.83451
dataset1,24,NUCLEO-F446RE,STM32F446RE,84,50672,p256,verify,32,0,68339744,813568,44683.66556,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,499,46172.2,46582.26,410.06,41007,33020.76142,36261.539,38841.523,13540.50472,44683.66556
dataset1,25,NUCLEO-F446RE,STM32F446RE,84,51104,p256,keygen,0,64,33059105,393560,89132.46084,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2214,498,46595.64,47414.62,818.98,81899,32979.79108,36209.211,37942.883,27009.83662,89132.46084
dataset1,25,NUCLEO-F446RE,STM32F446RE,84,51530,p256,sign,32,72,34676458,412814,43114.64409,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2214,499,47452.48,47846.76,394.28000000000003,39429,33136.39084,36261.539,38312.453,13065.04366,43114.64409
dataset1,25,NUCLEO-F446RE,STM32F446RE,84,52361,p256,verify,32,0,68669066,817488,44506.32074,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2206,2210,499,47860.79,48269.09,408.3,40831,33031.52767,36261.539,38682.664,13486.76386,44506.32074
dataset1,26,NUCLEO-F446RE,STM32F446RE,84,52793,p256,keygen,0,64,33059035,393559,88354.88519,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2206,2211,498,48282.46,49093.21,810.75,81076,33023.93015,36261.539,37837.406,26774.20763,88354.88519
dataset1,26,NUCLEO-F446RE,STM32F446RE,84,53217,p256,sign,32,72,34418059,409738,43153.29287,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,499,49131.23,49526.01,394.78000000000003,39479,33124.09181,36261.539,37784.691,13076.75542,43153.29287
dataset1,26,NUCLEO-F446RE,STM32F446RE,84,54044,p256,verify,32,0,68327558,813423,44546.52908,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2211,499,49539.54,49947.91,408.37,40838,33055.73596,36261.539,39053.516,13498.94821,44546.52908
dataset1,27,NUCLEO-F446RE,STM32F446RE,84,54478,p256,keygen,0,64,33178865,394986,89088.66514,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2211,499,49961.29,50778.82,817.53,81754,33022.08872,36209.211,37837.406,26996.56519,89088.66514
dataset1,27,NUCLEO-F446RE,STM32F446RE,84,54901,p256,sign,32,70,34395578,409471,43057.53466,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2212,499,50816.94,51210.97,394.03,39404,33113.49811,36209.211,37890.137,13047.73778,43057.53466
dataset1,27,NUCLEO-F446RE,STM32F446RE,84,55730,p256,verify,32,0,68519671,815710,44933.2587,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2207,2211,499,51224.5,51636.77,412.27000000000004,41228,33027.24236,36261.539,38418.164,13616.139,44933.2587
dataset1,28,NUCLEO-F446RE,STM32F446RE,84,56162,p256,keygen,0,64,33113564,394209,88709.71567,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2206,2211,499,51650.79,52464.29,813.5,81351,33044.46582,36261.539,37890.137,26881.73202,88709.71567
dataset1,28,NUCLEO-F446RE,STM32F446RE,84,56588,p256,sign,32,71,34674541,412792,43045.94544,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2206,2212,499,52502.67,52896.13,393.46,39347,33152.52806,36261.539,38259.621,13044.22589,43045.94544
dataset1,28,NUCLEO-F446RE,STM32F446RE,84,57417,p256,verify,32,0,68478805,815223,45017.03497,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2206,2212,499,52909.66,53322.37,412.71000000000004,41272,33053.50212,36313.879,38365.305,13641.52575,45017.03497
